,ReportDate,Date,Zip,Cases,Deaths,Recovered
0,08/01/2020,08/02/2020 11:00AM,73942,852,7,832
1,08/01/2020,08/02/2020 11:00AM,74012,756,13,605
2,08/01/2020,08/02/2020 11:00AM,73119,647,9,476
3,08/01/2020,08/02/2020 11:00AM,74136,619,15,568
4,08/01/2020,08/02/2020 11:00AM,74133,599,5,516
5,08/01/2020,08/02/2020 11:00AM,73099,571,2,453
6,08/01/2020,08/02/2020 11:00AM,74037,557,0,526
7,08/01/2020,08/02/2020 11:00AM,73160,555,11,458
8,08/01/2020,08/02/2020 11:00AM,73072,510,14,419
9,08/01/2020,08/02/2020 11:00AM,73107,497,4,400
10,08/01/2020,08/02/2020 11:00AM,73159,468,3,383
11,08/01/2020,08/02/2020 11:00AM,73013,457,13,379
12,08/01/2020,08/02/2020 11:00AM,73109,457,3,351
14,08/01/2020,08/02/2020 11:00AM,73521,430,4,322
15,08/01/2020,08/02/2020 11:00AM,74014,425,5,339
16,08/01/2020,08/02/2020 11:00AM,73071,419,6,340
17,08/01/2020,08/02/2020 11:00AM,73129,407,2,317
18,08/01/2020,08/02/2020 11:00AM,73112,385,8,320
19,08/01/2020,08/02/2020 11:00AM,74115,383,2,315
20,08/01/2020,08/02/2020 11:00AM,74137,382,5,336
21,08/01/2020,08/02/2020 11:00AM,74055,377,2,320
22,08/01/2020,08/02/2020 11:00AM,74146,377,2,324
23,08/01/2020,08/02/2020 11:00AM,74728,373,19,328
24,08/01/2020,08/02/2020 11:00AM,73120,363,11,293
25,08/01/2020,08/02/2020 11:00AM,73127,362,1,302
26,08/01/2020,08/02/2020 11:00AM,73012,351,0,323
27,08/01/2020,08/02/2020 11:00AM,73170,342,8,281
28,08/01/2020,08/02/2020 11:00AM,73108,340,0,251
29,08/01/2020,08/02/2020 11:00AM,74006,335,29,296
30,08/01/2020,08/02/2020 11:00AM,73034,332,1,264
31,08/01/2020,08/02/2020 11:00AM,74008,327,2,273
32,08/01/2020,08/02/2020 11:00AM,74110,315,4,271
33,08/01/2020,08/02/2020 11:00AM,74017,310,8,195
34,08/01/2020,08/02/2020 11:00AM,74129,310,2,263
35,08/01/2020,08/02/2020 11:00AM,74134,302,1,238
36,08/01/2020,08/02/2020 11:00AM,73069,300,7,220
37,08/01/2020,08/02/2020 11:00AM,74105,297,4,258
