Zip,Cases,Deaths,Recovered,ReportDate
74012,1130,15,953,08/21/2020
73119,930,10,782,08/21/2020
73942,888,7,869,08/21/2020
74133,796,5,682,08/21/2020
74136,765,15,706,08/21/2020
73099,725,6,642,08/21/2020
73160,708,13,617,08/21/2020
Other***,677,13,531,08/21/2020
73109,645,4,538,08/21/2020
74037,643,2,601,08/21/2020
73107,632,7,545,08/21/2020
73159,632,4,537,08/21/2020
73072,624,14,559,08/21/2020
74014,606,6,520,08/21/2020
73013,560,16,491,08/21/2020
73129,558,5,474,08/21/2020
74115,540,3,471,08/21/2020
73071,536,8,464,08/21/2020
74055,531,2,452,08/21/2020
74146,504,3,433,08/21/2020
73521,499,7,466,08/21/2020
74137,483,6,442,08/21/2020
73112,480,11,414,08/21/2020
74017,473,17,341,08/21/2020
73127,469,4,412,08/21/2020
73120,467,13,398,08/21/2020
73170,463,12,384,08/21/2020
73108,459,0,389,08/21/2020
74008,448,3,377,08/21/2020
74134,434,1,372,08/21/2020
74006,433,29,349,08/21/2020
73034,430,1,378,08/21/2020
74011,421,5,354,08/21/2020
73012,417,0,387,08/21/2020
74110,417,7,364,08/21/2020
74129,405,3,351,08/21/2020
74728,403,21,343,08/21/2020
74464,398,2,304,08/21/2020
74105,398,4,344,08/21/2020
73069,387,8,332,08/21/2020
74074,376,2,331,08/21/2020
73162,360,10,295,08/21/2020
73132,358,4,295,08/21/2020
73701,353,4,250,08/21/2020
74501,348,11,266,08/21/2020
74128,348,4,309,08/21/2020
73139,344,6,304,08/21/2020
74112,336,5,288,08/21/2020
74701,333,1,276,08/21/2020
74066,333,6,285,08/21/2020
74145,331,1,289,08/21/2020
73102,322,0,178,08/21/2020
74135,321,9,283,08/21/2020
73401,316,4,268,08/21/2020
73110,314,3,258,08/21/2020
74745,307,5,268,08/21/2020
73703,302,5,191,08/21/2020
73505,294,5,254,08/21/2020
74033,285,3,253,08/21/2020
73008,281,1,242,08/21/2020
74403,273,10,205,08/21/2020
74063,273,4,240,08/21/2020
74106,269,4,225,08/21/2020
74960,264,5,190,08/21/2020
73135,264,4,225,08/21/2020
73114,259,1,229,08/21/2020
74429,259,13,206,08/21/2020
74107,257,5,218,08/21/2020
73051,255,2,179,08/21/2020
74075,242,1,215,08/21/2020
74354,239,3,202,08/21/2020
74019,239,3,203,08/21/2020
73018,237,4,223,08/21/2020
73501,236,3,227,08/21/2020
73036,234,1,176,08/21/2020
73122,233,2,204,08/21/2020
73064,230,2,200,08/21/2020
74021,225,1,188,08/21/2020
74070,219,7,190,08/21/2020
74447,212,2,178,08/21/2020
73005,207,5,151,08/21/2020
73503,207,1,151,08/21/2020
73106,206,2,180,08/21/2020
73130,205,2,174,08/21/2020
74801,204,1,171,08/21/2020
73142,204,5,173,08/21/2020
73115,201,2,167,08/21/2020
74127,200,1,168,08/21/2020
74344,200,16,160,08/21/2020
74114,200,4,173,08/21/2020
74104,195,1,167,08/21/2020
73080,195,3,171,08/21/2020
74132,192,2,179,08/21/2020
73020,192,2,160,08/21/2020
74955,184,1,138,08/21/2020
73118,182,3,148,08/21/2020
73003,179,3,164,08/21/2020
73169,176,1,138,08/21/2020
74437,176,2,154,08/21/2020
74851,172,1,60,08/21/2020
74820,169,0,151,08/21/2020
74743,165,1,147,08/21/2020
74035,160,2,49,08/21/2020
74003,160,8,135,08/21/2020
74467,157,5,123,08/21/2020
74804,156,6,117,08/21/2020
73010,151,1,132,08/21/2020
73111,148,2,119,08/21/2020
73533,145,1,122,08/21/2020
74108,145,0,126,08/21/2020
73601,143,0,123,08/21/2020
73044,133,0,115,08/21/2020
73068,132,1,113,08/21/2020
74848,132,2,98,08/21/2020
74116,131,0,111,08/21/2020
73065,131,1,112,08/21/2020
73116,128,0,116,08/21/2020
74948,128,1,93,08/21/2020
73089,128,2,102,08/21/2020
73507,127,2,113,08/21/2020
74401,127,2,100,08/21/2020
74010,125,4,105,08/21/2020
74601,123,4,106,08/21/2020
74126,123,2,107,08/21/2020
74361,121,2,104,08/21/2020
73025,121,0,115,08/21/2020
74884,120,1,104,08/21/2020
73047,119,0,111,08/21/2020
73179,116,1,98,08/21/2020
74953,115,0,77,08/21/2020
74868,114,3,81,08/21/2020
73075,112,1,100,08/21/2020
74023,111,1,84,08/21/2020
74937,107,1,85,08/21/2020
74432,107,2,83,08/21/2020
73945,107,0,104,08/21/2020
74346,104,1,92,08/21/2020
74426,100,1,89,08/21/2020
74020,100,3,71,08/21/2020
73026,100,3,83,08/21/2020
74462,99,2,42,08/21/2020
73128,97,0,83,08/21/2020
73149,97,0,83,08/21/2020
74015,96,0,84,08/21/2020
74604,96,4,81,08/21/2020
74962,92,2,80,08/21/2020
73078,91,1,81,08/21/2020
74834,90,4,36,08/21/2020
74331,88,0,78,08/21/2020
73134,87,1,76,08/21/2020
73096,86,0,72,08/21/2020
73446,86,1,75,08/21/2020
73084,81,1,67,08/21/2020
73554,80,8,67,08/21/2020
74352,78,0,66,08/21/2020
74120,77,0,71,08/21/2020
73750,76,0,65,08/21/2020
74434,74,3,60,08/21/2020
73742,73,0,40,08/21/2020
74073,73,1,63,08/21/2020
73105,70,1,54,08/21/2020
74965,69,1,62,08/21/2020
74365,69,1,49,08/21/2020
74857,69,1,62,08/21/2020
74036,69,3,59,08/21/2020
74016,68,0,56,08/21/2020
74766,68,0,48,08/21/2020
73103,68,1,57,08/21/2020
74029,67,1,60,08/21/2020
74301,66,1,59,08/21/2020
73644,66,1,47,08/21/2020
74436,66,0,42,08/21/2020
74525,65,0,54,08/21/2020
74047,65,1,55,08/21/2020
73052,64,2,57,08/21/2020
74571,64,2,57,08/21/2020
73045,64,0,51,08/21/2020
74959,63,1,49,08/21/2020
74103,63,0,50,08/21/2020
74730,62,0,55,08/21/2020
74337,62,4,43,08/21/2020
73117,61,0,51,08/21/2020
73165,60,1,55,08/21/2020
74044,59,1,49,08/21/2020
74058,58,0,47,08/21/2020
74864,57,0,39,08/21/2020
73448,57,0,50,08/21/2020
74119,57,0,56,08/21/2020
74339,54,0,49,08/21/2020
73104,53,0,49,08/21/2020
74445,53,0,44,08/21/2020
74873,53,0,43,08/21/2020
74451,53,0,35,08/21/2020
74578,53,1,47,08/21/2020
73949,53,0,48,08/21/2020
74523,52,0,45,08/21/2020
74039,52,2,47,08/21/2020
73049,51,2,43,08/21/2020
73801,51,0,36,08/21/2020
73086,51,0,48,08/21/2020
74370,51,0,46,08/21/2020
74130,50,1,43,08/21/2020
74053,48,0,42,08/21/2020
74338,48,1,42,08/21/2020
74421,47,0,44,08/21/2020
74740,47,2,37,08/21/2020
73542,47,1,45,08/21/2020
73009,46,8,38,08/21/2020
74079,45,0,38,08/21/2020
74441,45,1,39,08/21/2020
73093,44,0,36,08/21/2020
74547,43,0,32,08/21/2020
74764,43,0,41,08/21/2020
74048,43,1,30,08/21/2020
74859,41,1,27,08/21/2020
73662,41,0,14,08/21/2020
74056,40,0,31,08/21/2020
73173,40,0,37,08/21/2020
74059,40,0,35,08/21/2020
74902,39,0,24,08/21/2020
73141,39,0,38,08/21/2020
73121,38,0,28,08/21/2020
73055,37,0,33,08/21/2020
73439,36,0,29,08/21/2020
74883,36,0,30,08/21/2020
74343,35,0,31,08/21/2020
74538,35,0,29,08/21/2020
73550,35,0,28,08/21/2020
73095,35,0,29,08/21/2020
73077,35,0,32,08/21/2020
73529,34,1,31,08/21/2020
74131,34,0,30,08/21/2020
74041,33,0,33,08/21/2020
73030,33,0,30,08/21/2020
74954,33,0,26,08/21/2020
73449,33,1,28,08/21/2020
74931,33,0,26,08/21/2020
73150,32,1,26,08/21/2020
73538,31,0,28,08/21/2020
73762,31,0,28,08/21/2020
73527,31,0,30,08/21/2020
74631,30,1,25,08/21/2020
74651,30,1,28,08/21/2020
74051,30,1,27,08/21/2020
74733,29,0,25,08/21/2020
73028,29,0,26,08/21/2020
74966,29,0,20,08/21/2020
74435,29,1,22,08/21/2020
74930,29,0,28,08/21/2020
74729,28,0,25,08/21/2020
73145,28,0,22,08/21/2020
73054,28,0,21,08/21/2020
74964,27,0,23,08/21/2020
74342,27,0,25,08/21/2020
74455,27,1,19,08/21/2020
74454,27,0,16,08/21/2020
74637,27,0,26,08/21/2020
73772,26,0,16,08/21/2020
73460,25,0,19,08/21/2020
74940,25,0,18,08/21/2020
74561,25,0,6,08/21/2020
74347,25,0,22,08/21/2020
73006,25,1,21,08/21/2020
73007,25,0,18,08/21/2020
74855,24,0,22,08/21/2020
74463,24,0,8,08/21/2020
73057,23,0,19,08/21/2020
74536,23,0,22,08/21/2020
74002,23,2,20,08/21/2020
74022,23,0,22,08/21/2020
73463,22,0,22,08/21/2020
73737,22,0,21,08/21/2020
74080,22,0,15,08/21/2020
74364,22,0,18,08/21/2020
73015,21,1,16,08/21/2020
73526,21,0,20,08/21/2020
74849,21,1,17,08/21/2020
74932,21,0,15,08/21/2020
73433,21,0,20,08/21/2020
74941,21,0,11,08/21/2020
73950,21,0,21,08/21/2020
73131,21,0,18,08/21/2020
74727,20,0,11,08/21/2020
74860,20,0,16,08/21/2020
74332,20,1,15,08/21/2020
74363,20,0,15,08/21/2020
73038,20,0,18,08/21/2020
73443,19,1,17,08/21/2020
