Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
74012,1152,16,984,08/24/2020,62429,18.45296256547438,0.2562911467426997,152,08/24/2020 11:00AM
73119,952,10,812,08/24/2020,32119,29.639777078987514,0.31134219620785203,130,08/24/2020 11:00AM
73942,891,7,871,08/24/2020,13454,66.22565779693771,0.5202913631633715,13,08/24/2020 11:00AM
74133,814,5,696,08/24/2020,46067,17.669915557774548,0.108537564851195,113,08/24/2020 11:00AM
74136,780,15,715,08/24/2020,31835,24.50133500863829,0.4711795193968902,50,08/24/2020 11:00AM
73099,739,6,656,08/24/2020,68676,10.760673306540859,0.08736676568233444,77,08/24/2020 11:00AM
73160,734,13,636,08/24/2020,59401,12.356694331745258,0.21885153448595143,85,08/24/2020 11:00AM
73109,669,5,553,08/24/2020,23144,28.90597995160733,0.21603871413757345,111,08/24/2020 11:00AM
74037,649,2,605,08/24/2020,18419,35.23535479667735,0.10858352787882079,42,08/24/2020 11:00AM
73107,647,7,555,08/24/2020,25328,25.54485154769425,0.27637397346809855,85,08/24/2020 11:00AM
73159,645,4,557,08/24/2020,33816,19.073811213626687,0.11828720132481665,84,08/24/2020 11:00AM
73072,633,14,571,08/24/2020,46675,13.56186395286556,0.29994643813604716,48,08/24/2020 11:00AM
74014,616,6,534,08/24/2020,40100,15.361596009975063,0.14962593516209474,76,08/24/2020 11:00AM
73013,572,16,501,08/24/2020,52254,10.94653040915528,0.3061966548015463,55,08/24/2020 11:00AM
73129,567,5,484,08/24/2020,19764,28.688524590163937,0.2529852256628213,78,08/24/2020 11:00AM
73071,550,9,474,08/24/2020,42656,12.89384846211553,0.21099024756189047,67,08/24/2020 11:00AM
74115,549,3,482,08/24/2020,23347,23.514798475178825,0.12849616653103182,64,08/24/2020 11:00AM
74055,539,2,469,08/24/2020,45378,11.878002556304816,0.044074220988144036,68,08/24/2020 11:00AM
74146,516,3,450,08/24/2020,16130,31.99008059516429,0.18598884066955984,63,08/24/2020 11:00AM
73521,509,7,473,08/24/2020,20676,24.61791449023022,0.3385567808086671,29,08/24/2020 11:00AM
74137,497,6,447,08/24/2020,28241,17.59852696434262,0.212457065967919,44,08/24/2020 11:00AM
74017,491,19,358,08/24/2020,28375,17.303964757709252,0.6696035242290749,114,08/24/2020 11:00AM
73112,488,11,423,08/24/2020,33335,14.63926803659817,0.32998350082495875,54,08/24/2020 11:00AM
73120,482,13,410,08/24/2020,35771,13.474602331497582,0.36342288445947835,59,08/24/2020 11:00AM
73127,478,4,422,08/24/2020,25134,19.018063181347976,0.15914697222885335,52,08/24/2020 11:00AM
73170,474,12,400,08/24/2020,37699,12.57327780577734,0.3183108305260086,62,08/24/2020 11:00AM
