Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
73099,12942,137,12691,11/03/2021,68676,188.4501135767954,1.9948744830799698,114,1.6599685479643544,11/03/2021 11:00AM
74012,10883,192,10568,11/03/2021,62429,174.32603437505006,3.0754937609123965,123,1.970238190584504,11/03/2021 11:00AM
73160,9819,102,9632,11/03/2021,59401,165.3002474705813,1.717142809043619,85,1.4309523408696825,11/03/2021 11:00AM
74055,7981,132,7747,11/03/2021,45378,175.87817885318876,2.908898585217506,102,2.247785270395346,11/03/2021 11:00AM
73013,7582,94,7429,11/03/2021,52254,145.09893979408275,1.7989053469590846,59,1.129100164580702,11/03/2021 11:00AM
74133,7569,113,7379,11/03/2021,46067,164.30416567173899,2.452948965637007,77,1.671478498708403,11/03/2021 11:00AM
74014,7301,79,7143,11/03/2021,40100,182.069825436409,1.970074812967581,79,1.970074812967581,11/03/2021 11:00AM
73505,7153,145,6971,11/03/2021,48713,146.83965265945437,2.976618151212202,37,0.7595508385851827,11/03/2021 11:00AM
73072,7140,93,6974,11/03/2021,46675,152.97268344938402,1.9925013390465989,73,1.5640064274236742,11/03/2021 11:00AM
73170,6944,135,6770,11/03/2021,37699,184.19586726438368,3.5809968434175974,39,1.0345101992095282,11/03/2021 11:00AM
73401,6689,129,6488,11/03/2021,35952,186.05362705829995,3.588117489986649,72,2.0026702269692924,11/03/2021 11:00AM
73071,6399,83,6260,11/03/2021,42656,150.01406601650413,1.9457989497374344,56,1.312828207051763,11/03/2021 11:00AM
73034,6314,72,6181,11/03/2021,44647,141.42047617981052,1.6126503460478867,61,1.3662732098461263,11/03/2021 11:00AM
74464,6085,70,5977,11/03/2021,31404,193.7651254617246,2.2290154120494208,38,1.2100369379696856,11/03/2021 11:00AM
74820,5557,83,5408,11/03/2021,31480,176.52477763659465,2.636594663278272,66,2.096569250317662,11/03/2021 11:00AM
73119,5425,113,5282,11/03/2021,32119,168.90314144275973,3.518166817148728,30,0.9340265886235561,11/03/2021 11:00AM
74011,5416,61,5301,11/03/2021,27969,193.64296185062034,2.1809860917444315,54,1.9307089992491688,11/03/2021 11:00AM
74008,5385,59,5270,11/03/2021,28808,186.9272424326576,2.048042210497084,56,1.9439044709802833,11/03/2021 11:00AM
73159,5327,74,5228,11/03/2021,33816,157.52898036432458,2.188313224509108,25,0.7392950082801041,11/03/2021 11:00AM
73012,5310,53,5202,11/03/2021,37639,141.07707431121975,1.4081139243869392,55,1.4612502988921068,11/03/2021 11:00AM
74017,5229,139,5028,11/03/2021,28375,184.28193832599118,4.898678414096916,62,2.1850220264317177,11/03/2021 11:00AM
74063,5144,103,4975,11/03/2021,31703,162.25593792385578,3.2489038892218405,66,2.0818219095984607,11/03/2021 11:00AM
74701,5072,56,4952,11/03/2021,25267,200.73613804567222,2.2163295998733528,64,2.5329481141409746,11/03/2021 11:00AM
74403,4973,123,4789,11/03/2021,30573,162.65986327805578,4.023157688156217,61,1.9952245445327577,11/03/2021 11:00AM
73703,4973,94,4823,11/03/2021,30331,163.95766707329133,3.0991394942468102,56,1.8462958689129934,11/03/2021 11:00AM
74066,4967,102,4790,11/03/2021,33041,150.32837989164977,3.087073635785842,75,2.2699070851366483,11/03/2021 11:00AM
73533,4833,87,4704,11/03/2021,27582,175.2229715031542,3.154231020230585,42,1.5227322166630413,11/03/2021 11:00AM
73120,4758,74,4644,11/03/2021,35771,133.01277571216906,2.0687148807693383,40,1.118224259875318,11/03/2021 11:00AM
74136,4667,114,4509,11/03/2021,31835,146.59965446835244,3.5809643474163657,44,1.382126590230878,11/03/2021 11:00AM
74074,4617,49,4528,11/03/2021,32812,140.71071559185663,1.4933560892356454,40,1.2190661952944046,11/03/2021 11:00AM
74006,4549,111,4399,11/03/2021,27191,167.29800301570373,4.0822330918318555,39,1.434298113346328,11/03/2021 11:00AM
73110,4520,88,4391,11/03/2021,33383,135.39825659766947,2.6360722523440074,41,1.2281700266602762,11/03/2021 11:00AM
74501,4384,102,4241,11/03/2021,28016,156.4820102798401,3.6407766990291264,41,1.463449457452884,11/03/2021 11:00AM
