Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
73099,4076,13,3437,12/06/2020,68676,59.35115615353253,0.1892946589783913,626,9.115265886190226,12/07/2020 11:00AM
74012,3599,40,3046,12/06/2020,62429,57.64948982043602,0.6407278668567492,513,8.21733489243781,12/07/2020 11:00AM
73160,3012,18,2429,12/06/2020,59401,50.70621706705274,0.3030252015959327,565,9.511624383427888,12/07/2020 11:00AM
73072,2778,20,2357,12/06/2020,46675,59.517943224424215,0.42849491162292447,401,8.591322978039635,12/07/2020 11:00AM
73013,2610,27,2184,12/06/2020,52254,49.94832931450224,0.5167068549776094,399,7.6357790791135605,12/07/2020 11:00AM
74133,2464,21,2105,12/06/2020,46067,53.4873119586689,0.45585777237501895,338,7.337139383940782,12/07/2020 11:00AM
73170,2444,27,1968,12/06/2020,37699,64.82930581713042,0.7161993686835194,449,11.91013024218149,12/07/2020 11:00AM
73119,2366,29,2017,12/06/2020,32119,73.66356362277779,0.9028923690027709,320,9.962950278651265,12/07/2020 11:00AM
74055,2337,6,1935,12/06/2020,45378,51.500727224646305,0.1322226629644321,396,8.72669575565252,12/07/2020 11:00AM
73034,2232,9,1877,12/06/2020,44647,49.99216072748449,0.20158129325598584,346,7.749680829619011,12/07/2020 11:00AM
73071,2227,36,1861,12/06/2020,42656,52.208364591147784,0.8439609902475619,330,7.7363090772693175,12/07/2020 11:00AM
74014,2199,14,1848,12/06/2020,40100,54.83790523690773,0.34912718204488774,337,8.403990024937656,12/07/2020 11:00AM
73159,1997,7,1660,12/06/2020,33816,59.05488526141472,0.20700260231842915,330,9.758694109297373,12/07/2020 11:00AM
73703,1987,12,1690,12/06/2020,30331,65.51053377732353,0.3956348290527843,285,9.396327190003626,12/07/2020 11:00AM
74074,1942,8,1761,12/06/2020,32812,59.18566378154333,0.24381323905888092,173,5.272461294648299,12/07/2020 11:00AM
73942,1911,13,1767,12/06/2020,13454,142.0395421436004,0.9662553887319756,131,9.736881224914525,12/07/2020 11:00AM
73505,1908,14,1554,12/06/2020,48713,39.16818918974401,0.28739761459979885,340,6.979656354566543,12/07/2020 11:00AM
73701,1829,23,1601,12/06/2020,23646,77.34923454284022,0.9726803687727311,205,8.66954241732217,12/07/2020 11:00AM
73120,1814,25,1520,12/06/2020,35771,50.71147018534567,0.6988901624220737,269,7.520058147661514,12/07/2020 11:00AM
74820,1807,10,1505,12/06/2020,31480,57.401524777636595,0.3176620076238882,292,9.275730622617536,12/07/2020 11:00AM
73012,1787,6,1517,12/06/2020,37639,47.477350620367176,0.15940912351550254,264,7.014001434682111,12/07/2020 11:00AM
74464,1773,6,1464,12/06/2020,31404,56.45777607948032,0.19105846388995032,303,9.648452426442491,12/07/2020 11:00AM
74701,1744,13,1504,12/06/2020,25267,69.02283611034154,0.5145050856848855,227,8.984050342343767,12/07/2020 11:00AM
74136,1725,24,1494,12/06/2020,31835,54.18564473064238,0.7538872310350243,207,6.502277367677085,12/07/2020 11:00AM
73521,1707,33,1482,12/06/2020,20676,82.55948926291353,1.5960533952408589,192,9.286128845037725,12/07/2020 11:00AM
73069,1705,10,1489,12/06/2020,24416,69.83125819134993,0.40956749672346,206,8.437090432503275,12/07/2020 11:00AM
74017,1691,51,1373,12/06/2020,28375,59.59471365638767,1.7973568281938328,267,9.409691629955946,12/07/2020 11:00AM
73109,1641,10,1423,12/06/2020,23144,70.9039059799516,0.4320774282751469,208,8.987210508123056,12/07/2020 11:00AM
74011,1610,11,1364,12/06/2020,27969,57.5637312739104,0.393292573921127,235,8.402159533769531,12/07/2020 11:00AM
74008,1579,8,1333,12/06/2020,28808,54.8111635656762,0.27770063871146905,238,8.261594001666204,12/07/2020 11:00AM
74137,1550,9,1337,12/06/2020,28241,54.88474204171241,0.3186855989518785,204,7.2235402429092455,12/07/2020 11:00AM
73107,1540,8,1321,12/06/2020,25328,60.80227416298168,0.31585596967782686,211,8.330701200252685,12/07/2020 11:00AM
73112,1473,16,1244,12/06/2020,33335,44.18779061046948,0.47997600119994,213,6.3896805159742005,12/07/2020 11:00AM
74037,1473,12,1302,12/06/2020,18419,79.9717682827515,0.6515011672729246,159,8.632390466366251,12/07/2020 11:00AM
74403,1471,16,1166,12/06/2020,30573,48.114349262421094,0.5233375854512151,289,9.452785137212572,12/07/2020 11:00AM
