ReportDate,Date,GEOID10,County,Active,Cases,Deaths,Recovered,TOT_POP,CS_RATE,DTH_RATE,REC_RATE,SOURCE,NCHS_DESC,ACT_RATE
11/03/2021,11/18/2021 11:00AM,40109.0,Oklahoma,927,120077,1887,117263,797434.0,15057.923288949305,236.63400356643936,14705.04142035579,OSDH,Large central metro,116.24786502707435
11/03/2021,11/18/2021 11:00AM,40143.0,Tulsa,1140,108272,1694,105438,651552.0,16617.55316536516,259.9945975148568,16182.591719463679,OSDH,Medium metro,174.96684838662148
11/03/2021,11/18/2021 11:00AM,40027.0,Cleveland,436,43708,609,42663,284014.0,15389.382213552852,214.42604942009902,15021.442604942009,OSDH,Large fringe metro,153.51355919074413
11/03/2021,11/18/2021 11:00AM,40017.0,Canadian,215,23345,295,22835,148306.0,15741.102854908095,198.91305813655552,15397.219262875406,OSDH,Large fringe metro,144.97053389613367
11/03/2021,11/18/2021 11:00AM,40031.0,Comanche,118,21260,311,20831,120749.0,17606.771070567873,257.55906881216407,17251.4886251646,OSDH,Small metro,97.72337659111048
11/03/2021,11/18/2021 11:00AM,40131.0,Rogers,195,15892,293,15404,92459.0,17188.15907591473,316.8972193080176,16660.357563893187,OSDH,Medium metro,210.90429271352707
11/03/2021,11/18/2021 11:00AM,40101.0,Muskogee,140,13528,262,13126,67997.0,19894.99536744268,385.3111166669118,19303.79281438887,OSDH,Micropolitan,205.89143638689941
11/03/2021,11/18/2021 11:00AM,40145.0,Wagoner,152,12813,207,12454,81289.0,15762.280259321678,254.6470002091304,15320.64608987686,OSDH,Medium metro,186.98716923568995
11/03/2021,11/18/2021 11:00AM,40125.0,Pottawatomie,161,12281,195,11925,72592.0,16917.842186466827,268.62464183381087,16427.4300198369,OSDH,Micropolitan,221.78752479612078
11/03/2021,11/18/2021 11:00AM,40119.0,Payne,99,12015,117,11799,81784.0,14691.137630832438,143.05976719162672,14427.027291401742,OSDH,Micropolitan,121.05057223906876
11/03/2021,11/18/2021 11:00AM,40037.0,Creek,149,11277,263,10865,71522.0,15767.176533094713,367.71902351723946,15191.13000195744,OSDH,Medium metro,208.32750762003297
11/03/2021,11/18/2021 11:00AM,40047.0,Garfield,138,10312,212,9962,61056.0,16889.412997903564,347.22222222222223,16316.168763102725,OSDH,Micropolitan,226.02201257861634
11/03/2021,11/18/2021 11:00AM,40019.0,Carter,103,9082,193,8786,48111.0,18877.17985491883,401.15566086757707,18261.935939805866,OSDH,Micropolitan,214.08825424539089
11/03/2021,11/18/2021 11:00AM,40021.0,Cherokee,58,9052,118,8876,48657.0,18603.69525453686,242.51392399860248,18241.979571284708,OSDH,Micropolitan,119.20175925355036
11/03/2021,11/18/2021 11:00AM,40013.0,Bryan,111,8977,108,8758,47995.0,18704.03166996562,225.0234399416606,18247.73413897281,OSDH,Micropolitan,231.27409105115115
11/03/2021,11/18/2021 11:00AM,40147.0,Washington,72,8488,200,8216,51527.0,16472.917111417315,388.14602053292447,15945.038523492538,OSDH,Micropolitan,139.73256739185283
11/03/2021,11/18/2021 11:00AM,40051.0,Grady,82,8137,185,7870,55834.0,14573.557330658738,331.3393272916144,14095.354085324354,OSDH,Large fringe metro,146.86391804276963
11/03/2021,11/18/2021 11:00AM,40079.0,Le Flore,72,8064,89,7903,49853.0,16175.556135037008,178.52486309750665,15852.606663590957,OSDH,Medium metro,144.42460834854472
11/03/2021,11/18/2021 11:00AM,40137.0,Stephens,74,7617,144,7399,43143.0,17655.239552186915,333.7737292260622,17149.94321210857,OSDH,Micropolitan,171.52261085228196
11/03/2021,11/18/2021 11:00AM,40087.0,McClain,48,7480,106,7326,40474.0,18481.000148243318,261.8965261649454,18100.50896872066,OSDH,Large fringe metro,118.59465335771114
11/03/2021,11/18/2021 11:00AM,40071.0,Kay,161,7389,166,7062,43538.0,16971.381322063484,381.2761266020488,16220.313289540172,OSDH,Micropolitan,369.7919059212642
11/03/2021,11/18/2021 11:00AM,40041.0,Delaware,72,7368,161,7135,43009.0,17131.29810039759,374.3402543653654,16589.551024204236,OSDH,Noncore,167.4068218279895
11/03/2021,11/18/2021 11:00AM,40113.0,Osage,78,6945,127,6740,46963.0,14788.237548708557,270.42565423844303,14351.723697378788,OSDH,Medium metro,166.08819709132723
11/03/2021,11/18/2021 11:00AM,40123.0,Pontotoc,82,6891,101,6708,38284.0,17999.686553129242,263.81778288580085,17521.68007522725,OSDH,Micropolitan,214.18869501619474
11/03/2021,11/18/2021 11:00AM,40097.0,Mayes,85,6823,126,6612,41100.0,16600.973236009733,306.56934306569343,16087.591240875912,OSDH,Noncore,206.8126520681265
